nawil_kerja,kode_uker,nama_bank,nama_bank_cabang
Pekanbaru,5571,"BANK RAKYAT INDONESIA","PT. BRI CABANG TEMBILAHAN - UNIT HARAPAN"
Pekalongan,6059,"BANK RAKYAT INDONESIA","PT. BRI CABANG TEGAL - UNIT ADIWERNA I"
Surabaya,6193,"BANK RAKYAT INDONESIA","PT. BRI CABANG BONDOWOSO - UNIT CERMEE"
Palembang,7046,"BANK RAKYAT INDONESIA","PT. BRI CABANG LUBUK LINGGAU - UNIT MUARA KELINGI LUBUK LINGGAU"
Samarinda,4585,"BANK RAKYAT INDONESIA","PT. BRI CABANG TANJUNG REDEB - UNIT KONGBENG"
Solo,3591,"BANK RAKYAT INDONESIA","PT. BRI CABANG SOLO KARTASURA - UNIT DELANGGU 1"
Palopo,5007,"BANK RAKYAT INDONESIA","PT. BRI CABANG MASAMBA - UNIT TOMONI"
Semarang,5911,"BANK RAKYAT INDONESIA","PT. BRI CABANG KENDAL - UNIT PENARUBAN"
Tarakan,4597,"BANK RAKYAT INDONESIA","PT. BRI CABANG NUNUKAN - UNIT SUNGAI NYAMUK"
Madiun,3759,"BANK RAKYAT INDONESIA","PT. BRI CABANG NGAWI - UNIT WALIKUKUN"
Aceh,3917,"BANK RAKYAT INDONESIA","PT. BRI CABANG BANDA ACEH - UNIT PEUNAYONG"
Bengkulu,5582,"BANK RAKYAT INDONESIA","PT. BRI CABANG ARGA MAKMUR - UNIT KETAHUN"
Semarang,5998,"BANK RAKYAT INDONESIA","PT. BRI CABANG PURWODADI - UNIT KARANGRAYUNG"
Palopo,5007,"BANK RAKYAT INDONESIA","PT. BRI CABANG MASAMBA - UNIT TOMONI"
Pekalongan,3742,"BANK RAKYAT INDONESIA","PT. BRI CABANG BATANG - UNIT BATANG KOTA"
Solo,6656,"BANK RAKYAT INDONESIA","PT. BRI CABANG BOYOLALI - UNIT NOGOSARI"
Purwakarta,3776,"BANK RAKYAT INDONESIA","PT. BRI CABANG SUBANG - UNIT BUNIHAYU"
Pekalongan,5846,"BANK RAKYAT INDONESIA","PT. BRI CABANG BREBES - UNIT LARANGAN"
Makassar,5104,"BANK RAKYAT INDONESIA","PT. BRI CABANG SINJAI - UNIT LIBURENG"
Kudus,5922,"BANK RAKYAT INDONESIA","PT. BRI CABANG KUDUS - UNIT DAWE"
Medan,3533,"BANK RAKYAT INDONESIA","PT. BRI CABANG PEMATANG SIANTAR - UNIT SERBELAWAN"
Surabaya,6204,"BANK RAKYAT INDONESIA","PT. BRI CABANG BONDOWOSO - UNIT TEGAL AMPEL"
Balikpapan,7261,"BANK RAKYAT INDONESIA","PT. BRI CABANG BALIKPAPAN - UNIT BATUAMPAR"
Surabaya,6189,"BANK RAKYAT INDONESIA","PT. BRI CABANG BOJONEGORO - UNIT MARGOAGUNG"
Surabaya,7092,"BANK RAKYAT INDONESIA","PT. BRI CABANG BONDOWOSO - UNIT WRINGIN"
Kediri,3211,"BANK RAKYAT INDONESIA","PT. BRI CABANG TULUNGAGUNG - UNIT CAMPUR DARAT"
